[INFO ] 2019-11-02T08:30:19,752 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:19,941 [pool-1-thread-1] RPCClient - Startup took 187 msec
[INFO ] 2019-11-02T08:30:22,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:22,497 [pool-1-thread-1] RPCClient - Startup took 178 msec
[INFO ] 2019-11-02T08:30:22,756 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:22,868 [pool-1-thread-1] RPCClient - Startup took 112 msec
[INFO ] 2019-11-02T08:30:25,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:25,527 [pool-1-thread-1] RPCClient - Startup took 209 msec
[INFO ] 2019-11-02T08:30:25,788 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:26,447 [pool-1-thread-1] RPCClient - Startup took 658 msec
[INFO ] 2019-11-02T08:30:28,318 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:28,438 [pool-1-thread-1] RPCClient - Startup took 119 msec
[INFO ] 2019-11-02T08:30:28,995 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:29,205 [pool-1-thread-1] RPCClient - Startup took 209 msec
[INFO ] 2019-11-02T08:30:31,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:31,709 [pool-1-thread-1] RPCClient - Startup took 391 msec
[INFO ] 2019-11-02T08:30:32,003 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:32,130 [pool-1-thread-1] RPCClient - Startup took 126 msec
[INFO ] 2019-11-02T08:30:34,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:34,506 [pool-1-thread-1] RPCClient - Startup took 187 msec
[INFO ] 2019-11-02T08:30:34,934 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:35,070 [pool-1-thread-1] RPCClient - Startup took 134 msec
[INFO ] 2019-11-02T08:30:37,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:37,481 [pool-1-thread-1] RPCClient - Startup took 162 msec
[INFO ] 2019-11-02T08:30:37,808 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:37,949 [pool-1-thread-1] RPCClient - Startup took 139 msec
[INFO ] 2019-11-02T08:30:40,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:40,539 [pool-1-thread-1] RPCClient - Startup took 221 msec
[INFO ] 2019-11-02T08:30:40,879 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:41,005 [pool-1-thread-1] RPCClient - Startup took 125 msec
[INFO ] 2019-11-02T08:30:43,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:43,539 [pool-1-thread-1] RPCClient - Startup took 221 msec
[INFO ] 2019-11-02T08:30:43,881 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:44,009 [pool-1-thread-1] RPCClient - Startup took 127 msec
[INFO ] 2019-11-02T08:30:46,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:46,513 [pool-1-thread-1] RPCClient - Startup took 195 msec
[INFO ] 2019-11-02T08:30:46,811 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:46,950 [pool-1-thread-1] RPCClient - Startup took 138 msec
[INFO ] 2019-11-02T08:30:49,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:49,473 [pool-1-thread-1] RPCClient - Startup took 154 msec
[INFO ] 2019-11-02T08:30:49,814 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:49,969 [pool-1-thread-1] RPCClient - Startup took 153 msec
[INFO ] 2019-11-02T08:30:52,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:30:52,501 [pool-1-thread-1] RPCClient - Startup took 183 msec
[INFO ] 2019-11-02T08:30:52,822 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:30:52,957 [pool-1-thread-1] RPCClient - Startup took 134 msec
